profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
office assistants ,3,TX,MORTGAGE,"45,000",30.13,2002,24,127776,"36,999",debt_consolidation,10000,60,13.58,231,16790,23,,18-Mar
staff financial analyst,10,IL,RENT,"78,000",30.06,2002,26,127728,"55,300",debt_consolidation,26000,60,17.09,647,48217,65,,18-Jan
consultant,10,TX,MORTGAGE,"58,000",29.84,2002,38,271058,"57,138",credit_card,9800,36,6.08,299,11588,30,,18-Jan
nurse,10,CA,MORTGAGE,"58,756",29.76,2002,21,100257,"47,255",credit_card,30000,36,19.42,"1,106",47478,111,,18-Mar
registered nurse,10,MO,OWN,"54,000",29.73,2002,33,94107,"47,045",credit_card,9000,36,10.41,292,11811,29,,18-Mar
rn,1,AL,OWN,"65,000",29.56,2002,34,120721,"159,525",other,6000,36,19.03,220,9425,22,,18-Feb
paralegal,10,TX,OWN,"48,000",29.35,2002,23,100839,"46,839",debt_consolidation,12000,36,10.41,390,15748,39,,18-Mar
food server,9,NV,RENT,"38,000",29.31,2002,12,36466,"26,161",debt_consolidation,6000,36,16.02,211,8884,21,,18-Jan
,,WA,MORTGAGE,"60,433",29.31,2002,16,81069,"48,141",debt_consolidation,22750,60,13.58,524,38197,52,,18-Mar
,,NV,RENT,"29,388",29.24,2002,7,35400,"23,533",debt_consolidation,10000,60,13.59,231,16795,23,,18-Feb
logistics ,2,TN,RENT,"36,000",29.23,2002,22,94624,"43,325",credit_card,10000,36,6.07,305,11821,30,,18-Mar
rn,3,GA,MORTGAGE,"65,000",29.16,2002,39,287314,"92,796",debt_consolidation,30000,60,28.72,947,73080,95,,18-Feb
,,IN,RENT,"32,800",29.09,2002,23,61741,"26,355",debt_consolidation,3800,36,7.35,118,4638,12,,18-Feb
receptionist,10,PA,RENT,"30,000",29.08,2002,18,85680,"24,883",credit_card,18000,36,6.08,548,21283,55,,18-Jan
treatment advocate,10,IL,RENT,"60,000",28.98,2002,35,44545,"36,087",credit_card,10800,36,12.61,362,14886,36,,18-Feb
recruiter ,4,MA,MORTGAGE,"80,000",28.94,2002,31,432092,"53,310",debt_consolidation,18000,60,9.93,382,26937,38,,18-Feb
associate director,0,NY,RENT,"205,000",28.78,2002,31,270087,"185,697",debt_consolidation,35000,60,16.01,851,63018,85,,18-Mar
counselor,8,OH,MORTGAGE,"48,000",28.78,2002,30,203729,"97,403",debt_consolidation,19000,36,16.01,668,28126,67,,18-Mar
implemetation specialist,2,IL,RENT,"85,000",28.7,2002,14,116568,"77,371",debt_consolidation,13000,36,13.58,442,18296,44,,18-Feb
security officer ,1,TX,MORTGAGE,"95,000",28.66,2002,45,307361,"113,335",debt_consolidation,30000,36,11.99,996,40791,100,,18-Feb
inkjet lead operator,10,MN,OWN,"50,000",28.66,2002,31,101800,"59,213",other,18000,36,9.43,576,23092,58,,18-Feb
communications manager,10,CT,MORTGAGE,"106,000",28.6,2002,39,144667,"107,363",debt_consolidation,30800,36,13.59,"1,047",43357,105,,18-Jan
pacs admin,10,TX,MORTGAGE,"80,000",28.46,2002,32,337526,"44,979",small_business,15000,60,9.43,315,22073,31,,18-Mar
certified medical assistant,10,CA,RENT,"55,000",28.37,2002,11,56210,"25,228",debt_consolidation,40000,36,14.08,"1,369",56896,137,,18-Feb
registered nurse,3,IL,RENT,"70,000",27.98,2002,51,329238,"186,626",debt_consolidation,22050,36,19.42,813,34896,81,,18-Mar
senior account manager,2,DE,RENT,"60,000",27.98,2002,31,99894,"36,950",debt_consolidation,20000,60,9.93,424,29930,42,,18-Jan
rn,4,CT,RENT,"115,000",27.78,2002,15,90604,"75,117",debt_consolidation,25000,60,30.79,821,63488,82,,18-Jan
,,TX,OWN,"17,000",27.68,2002,17,96126,"62,706",other,2250,36,15.05,78,3266,8,,18-Jan
tech,10,NJ,OWN,"156,000",27.61,2002,41,203329,"115,153",other,25000,36,7.97,783,30978,78,,18-Feb
general manager,3,CO,MORTGAGE,"68,000",27.59,2002,22,412967,"32,018",debt_consolidation,15000,60,10.9,325,23175,33,,18-Mar
owner,7,WA,RENT,"35,000",27.54,2002,20,45325,"24,815",debt_consolidation,3200,36,10.9,105,4246,10,,18-Mar
deputy,10,TX,MORTGAGE,"86,000",27.41,2002,20,330391,"33,323",debt_consolidation,29600,36,9.93,954,38418,95,,18-Feb
attorney,0,KS,MORTGAGE,"70,000",27.4,2002,49,325590,"107,037",credit_card,13000,36,7.97,407,16108,41,,18-Jan
,,SC,OWN,"42,000",27.08,2002,14,35800,"25,038",debt_consolidation,10000,36,14.07,342,14221,34,,18-Mar
sales clerk,7,IL,OWN,"26,000",27.05,2002,10,22364,"13,197",home_improvement,5000,36,15.04,173,7256,17,,18-Mar
teacher,10,GA,RENT,"82,500",26.98,2002,40,122475,"77,744",debt_consolidation,24000,60,15.05,572,42060,57,,18-Jan
director,8,OH,MORTGAGE,"51,000",26.78,2002,29,188219,"40,513",credit_card,10000,36,9.44,320,12832,32,,18-Jan
pre verification specialist,8,NC,RENT,"42,000",26.69,2002,11,53751,"21,608",debt_consolidation,10000,36,16.02,352,14806,35,,18-Jan
,,SD,MORTGAGE,"24,576",26.66,2002,15,60175,"35,578",credit_card,5800,36,5.32,175,6726,17,,18-Feb
erp manager,7,IN,MORTGAGE,"60,600",26.63,2002,32,104738,"63,522",credit_card,24000,60,13.59,553,40308,55,,18-Jan
underwriter,5,NJ,MORTGAGE,"100,000",26.53,2002,64,566384,"151,251",debt_consolidation,21050,60,13.59,485,35353,49,,18-Feb
assistant manager,10,GA,RENT,"25,000",26.5,2002,14,35100,"16,957",other,6650,36,22.91,257,11221,26,,18-Feb
compensation practices manager,10,PA,MORTGAGE,"77,856",26.4,2002,25,305308,"59,868",home_improvement,10400,36,9.43,333,13342,33,,18-Mar
operations supervisor ,0,OH,MORTGAGE,"84,676",26.31,2002,32,236253,"110,717",debt_consolidation,30000,60,26.77,912,70155,91,,18-Mar
insurance counselor,10,CA,OWN,"65,000",26.31,2002,15,93899,"42,607",debt_consolidation,20000,36,7.35,621,24410,62,,18-Feb
federal law enforcement ,10,GA,MORTGAGE,"120,000",26.13,2002,55,405935,"169,017",debt_consolidation,30000,36,18.06,"1,085",46254,109,,18-Jan
avionics technician,3,KS,MORTGAGE,"78,000",26.13,2002,24,69294,"36,920",debt_consolidation,30000,36,14.08,"1,027",42672,103,,18-Feb
films clerk,10,TX,MORTGAGE,"59,000",25.94,2002,9,256728,"68,598",medical,6300,36,7.35,196,7689,20,,18-Feb
hr special projects manager,10,TN,MORTGAGE,"140,000",25.85,2002,40,620906,"170,040",home_improvement,28000,60,9.44,587,41216,59,,18-Feb
project consultant,10,FL,MORTGAGE,"75,000",25.79,2002,23,382076,"56,682",home_improvement,3600,36,15.05,125,5225,12,,18-Jan
rn,5,FL,MORTGAGE,"82,000",25.76,2002,19,279831,"49,092",debt_consolidation,7500,36,25.82,301,13310,30,,18-Jan
foreman/supervisor,4,MI,MORTGAGE,"85,000",25.75,2002,23,230027,"62,383",home_improvement,35000,60,18.45,897,67288,90,,18-Mar
quality control,10,IL,MORTGAGE,"58,000",25.74,2002,29,196101,"51,564",debt_consolidation,6000,36,9.93,193,7787,19,,18-Feb
sales,6,NY,RENT,"80,000",25.7,2002,26,83126,"57,558",other,1600,36,10.42,52,2100,5,,18-Jan
building automation technician,7,CA,RENT,"94,000",25.67,2002,27,95760,"48,779",debt_consolidation,5000,36,9.43,160,6415,16,,18-Mar
supervisor,10,OH,MORTGAGE,"51,252",25.66,2002,21,202342,"33,666",debt_consolidation,16500,60,23.88,474,36201,47,,18-Jan
paraprofessional,4,FL,MORTGAGE,"30,000",25.63,2002,15,112718,"13,015",debt_consolidation,10000,36,5.31,301,11593,30,,18-Feb
ceo,10,CA,RENT,"48,000",25.48,2002,36,133685,"86,846",other,10000,36,9.44,320,12832,32,,18-Feb
food service,3,NY,RENT,"35,000",25.41,2002,26,50030,"25,223",credit_card,10000,36,19.42,369,15826,37,,18-Mar
asst manager,10,WV,MORTGAGE,"58,000",25.37,2002,24,145911,"59,543",credit_card,28000,60,20.39,748,56546,75,,18-Mar
corprecruiter ,7,NC,MORTGAGE,"69,351",25.37,2002,18,204040,"42,023",debt_consolidation,15000,36,19.03,550,23564,55,,18-Feb
eligibility specialist,2,CO,RENT,"64,660",25.32,2002,29,106797,"58,854",debt_consolidation,30000,36,16.01,"1,055",44409,105,,18-Mar
"director, special events",10,FL,MORTGAGE,"130,000",25.32,2002,26,364017,"101,088",debt_consolidation,17325,36,15.05,601,25147,60,,18-Feb
repair man,10,TN,MORTGAGE,"88,000",25.28,2002,28,314462,"94,243",credit_card,10000,60,28.72,316,24360,32,,18-Jan
owner,10,CA,OWN,"90,000",25.23,2002,28,354540,"84,063",car,10000,36,7.97,313,12391,31,,18-Jan
teacher,10,FL,MORTGAGE,"60,000",25.14,2002,48,290681,"73,664",debt_consolidation,8500,36,6.07,259,10048,26,,18-Mar
program manager,10,NY,MORTGAGE,"65,000",25.01,2002,41,260519,"26,636",credit_card,10000,36,7.35,310,12205,31,,18-Jan
senior quality analyst,9,IN,MORTGAGE,"91,000",24.99,2002,44,307277,"105,205",debt_consolidation,15000,36,7.35,466,18308,47,,18-Jan
nurse technician ,3,NY,RENT,"45,000",24.91,2002,25,42400,"25,854",debt_consolidation,15000,60,19.03,389,29273,39,,18-Jan
hospitalist,3,TX,MORTGAGE,"245,000",24.9,2002,37,772243,"497,876",debt_consolidation,40000,60,9.44,839,58880,84,,18-Feb
support,10,MA,RENT,"26,000",24.75,2002,12,27282,"10,993",debt_consolidation,12000,60,9.93,255,17958,25,,18-Feb
border patrol agent,8,NY,MORTGAGE,"120,000",24.66,2002,32,306556,"74,281",credit_card,11200,60,26.77,340,26191,34,,18-Mar
debt collector,3,MA,RENT,"60,000",24.66,2002,18,226131,"67,509",credit_card,13000,36,7.34,403,15863,40,,18-Feb
financial advisor,10,CA,RENT,"93,000",24.61,2002,29,111728,"81,539",credit_card,25000,36,11.99,830,33993,83,,18-Jan
,,FL,OWN,"85,000",24.5,2002,42,78378,"51,775",credit_card,5500,36,11.98,183,7477,18,,18-Feb
sales and marketing manager,0,MA,RENT,"43,200",24.5,2002,24,76541,"44,351",credit_card,10000,36,6.08,305,11824,30,,18-Jan
operator one,10,IN,MORTGAGE,"100,000",24.37,2002,40,439624,"69,582",other,23000,60,18.06,585,43769,58,,18-Feb
dds,6,TX,MORTGAGE,"160,000",24.31,2002,58,1017789,"431,708",debt_consolidation,36000,36,6.72,"1,107",43258,111,,18-Jan
operations processing specialist ,10,VA,MORTGAGE,"30,000",24.2,2002,40,213000,"25,331",debt_consolidation,16000,60,25.82,477,36656,48,,18-Jan
patient account coordinator,10,NJ,RENT,"65,000",24.19,2002,29,59063,"24,764",debt_consolidation,12000,36,17.47,431,18289,43,,18-Mar
president,10,NY,MORTGAGE,"85,000",24.03,2002,17,81575,"54,798",credit_card,35000,36,13.58,"1,189",49259,119,,18-Mar
loan officer assistant,3,SC,MORTGAGE,"52,325",23.97,2002,33,76179,"49,939",debt_consolidation,10000,36,7.35,310,12205,31,,18-Jan
director of learning & performance,6,UT,MORTGAGE,"116,000",23.96,2002,22,269307,"269,011",home_improvement,15000,60,9.92,318,22440,32,,18-Feb
instructional support teacher,10,GA,MORTGAGE,"90,000",23.91,2002,32,305438,"47,197",debt_consolidation,10000,36,7.97,313,12391,31,,18-Jan
utilization manager reviewer ,4,TX,MORTGAGE,"74,000",23.81,2002,28,250955,"51,811",debt_consolidation,25000,60,19.42,654,49275,65,,18-Mar
heavy equipment operator,5,SD,MORTGAGE,"60,000",23.7,2002,18,116628,"59,004",debt_consolidation,21600,60,14.08,504,36806,50,,18-Jan
marketing director ,3,CO,RENT,"165,000",23.64,2002,19,460753,"161,570",debt_consolidation,40000,60,14.07,932,68140,93,,18-Mar
sales agent,3,CA,MORTGAGE,"60,000",23.4,2002,17,565013,"52,779",debt_consolidation,5000,36,6.72,154,6008,15,,18-Feb
certificated payroll professional,8,OH,OWN,"50,000",23.33,2002,33,132090,"22,526",credit_card,14000,60,19.03,363,27321,36,,18-Feb
dean of paraprofessionals,5,CO,RENT,"70,000",23.32,2002,42,68347,"42,203",credit_card,35000,60,12.61,789,57068,79,,18-Mar
nurse,5,IL,MORTGAGE,"45,000",23.28,2002,15,167351,"33,232",home_improvement,24000,36,7.97,752,29738,75,,18-Jan
advanced refining inspector,5,TX,MORTGAGE,"115,000",23.28,2002,44,186713,"163,265",credit_card,20000,36,6.07,609,23642,61,,18-Feb
manager,2,RI,MORTGAGE,"80,000",23.27,2002,20,236293,"50,928",house,12000,60,15.05,286,21030,29,,18-Feb
,,NJ,OWN,"24,000",23.2,2002,31,46657,"18,808",debt_consolidation,12000,60,18.45,308,23070,31,,18-Feb
regional sales director,1,CT,MORTGAGE,"125,000",23.19,2002,40,424929,"100,587",debt_consolidation,24000,36,10.91,785,31855,78,,18-Jan
kitchen manager,9,CO,MORTGAGE,"22,000",23.18,2002,20,166179,"24,888",debt_consolidation,12800,36,7.34,397,15619,40,,18-Mar
factory,10,TX,MORTGAGE,"55,000",23.15,2002,45,152942,"34,625",debt_consolidation,40000,60,10.42,858,60840,86,,18-Feb
resident physician,6,TX,RENT,"90,000",23.13,2002,26,406487,"425,808",car,10000,60,9.92,212,14960,21,,18-Mar
manager,8,ID,RENT,"50,000",23.07,2002,18,43794,"28,758",debt_consolidation,10000,36,14.08,342,14224,34,,18-Feb
denatl hygienist,10,TX,MORTGAGE,"64,000",22.95,2002,23,272592,"33,996",credit_card,16000,60,14.07,373,27256,37,,18-Feb
associate auditor ,1,NJ,MORTGAGE,"70,000",22.92,2002,45,940441,"97,682",home_improvement,20000,60,14.07,466,34070,47,,18-Mar
sales rep,9,NJ,RENT,"85,000",22.88,2002,22,98213,"46,100",debt_consolidation,9600,36,14.08,328,13655,33,,18-Jan
engineer,10,CA,OWN,"115,000",22.76,2002,17,121021,"100,778",credit_card,35000,36,15.05,"1,214",50803,121,,18-Jan
assistant,10,MD,MORTGAGE,"84,000",22.6,2002,22,300443,"40,043",debt_consolidation,11100,60,30.17,360,27844,36,,18-Jan
carpenter,10,VT,MORTGAGE,"30,000",22.52,2002,11,122679,"17,154",debt_consolidation,20000,60,13.59,461,33590,46,,18-Jan
design engineer,8,OH,MORTGAGE,"110,000",22.52,2002,25,193578,"87,190",debt_consolidation,22000,36,5.32,663,25511,66,,18-Jan
solo practitioner,10,MD,RENT,"80,000",22.38,2002,56,252703,"206,117",credit_card,8000,36,7.97,251,9913,25,,18-Jan
teacher,10,WV,RENT,"39,000",22.34,2002,16,67777,"67,209",debt_consolidation,8000,36,19.03,293,12567,29,,18-Jan
it manager,4,TX,RENT,"74,000",22.25,2002,17,68483,"29,535",debt_consolidation,16000,36,7.97,501,19826,50,,18-Jan
administrative assistant,9,SC,OWN,"38,000",22.25,2002,28,40964,"19,326",home_improvement,5000,36,6.07,152,5911,15,,18-Mar
warehouse assistant,3,WA,RENT,"26,000",22.19,2002,14,37300,"20,638",credit_card,8000,36,18.45,291,12428,29,,18-Mar
credit analyst,6,TX,MORTGAGE,"55,000",22.19,2002,24,273702,"57,604",debt_consolidation,16000,60,9.43,335,23544,34,,18-Mar
sheriff deputy,10,MN,MORTGAGE,"67,000",22.14,2002,36,435701,"84,690",debt_consolidation,6000,36,7.96,188,7433,19,,18-Mar
territory sales manager,9,CA,RENT,"90,000",22.13,2002,41,189916,"109,549",debt_consolidation,15000,36,6.72,461,18024,46,,18-Jan
distribution associate,5,NY,RENT,"45,000",22.11,2002,11,58223,"25,030",debt_consolidation,14400,60,9.92,305,21542,31,,18-Mar
rn,2,KY,MORTGAGE,"81,000",22.1,2002,21,268803,"83,976",debt_consolidation,12000,60,17.09,299,22254,30,,18-Feb
administrative specialist ii,10,DE,MORTGAGE,"34,000",22.1,2002,21,32600,"18,959",debt_consolidation,10000,36,10.91,327,13273,33,,18-Feb
ceo,8,CA,OWN,"110,000",22.1,2002,43,590365,"109,960",small_business,24000,36,7.97,752,29738,75,,18-Jan
director of pharmacy,10,AR,MORTGAGE,"132,454",21.97,2002,15,357933,"81,406",credit_card,12000,36,6.08,366,14189,37,,18-Feb
senior case manager,5,FL,RENT,"60,000",21.96,2002,23,67333,"51,092",credit_card,7200,36,10.42,234,9451,23,,18-Jan
owner,9,MI,MORTGAGE,"40,000",21.84,2002,27,236822,"34,654",debt_consolidation,6500,36,10.91,213,8627,21,,18-Jan
engineer,1,VA,MORTGAGE,"81,200",21.73,2002,36,154546,"154,276",other,10500,36,14.08,359,14935,36,,18-Jan
foreman,10,MD,MORTGAGE,"70,000",21.72,2002,19,285190,"59,263",credit_card,25000,36,9.44,800,32080,80,,18-Feb
owner/director,7,NJ,MORTGAGE,"85,000",21.68,2002,21,237534,"105,538",credit_card,30000,60,6.07,581,39105,58,,18-Mar
onsite electrostatic specialist painter,10,WA,MORTGAGE,"54,269",21.47,2002,13,279560,"39,179",debt_consolidation,21150,60,25.81,631,48444,63,,18-Mar
bookkeeper and human resources,0,FL,MORTGAGE,"41,600",21.44,2002,28,228799,"14,981",debt_consolidation,10000,36,13.58,340,14074,34,,18-Mar
bartender,4,NV,OWN,"100,000",21.42,2002,21,352923,"51,956",credit_card,12000,36,10.9,392,15924,39,,18-Feb
travel advisor,10,OR,RENT,"53,000",21.42,2002,15,60486,"37,820",credit_card,4800,36,7.35,149,5858,15,,18-Jan
senior transportation surveyor,10,CA,MORTGAGE,"120,000",21.4,2002,22,478518,"115,079",other,5000,36,6.72,154,6008,15,,18-Feb
technologist,3,CT,MORTGAGE,"127,000",21.33,2002,10,97497,"66,231",debt_consolidation,36000,36,10.42,"1,169",47254,117,,18-Feb
renal social worker,3,MN,RENT,"58,000",21.19,2002,46,118674,"101,390",debt_consolidation,12000,60,26.3,361,27780,36,,18-Feb
teacher,10,TX,MORTGAGE,"56,000",21.15,2002,38,251543,"51,124",home_improvement,15000,60,11.99,334,23993,33,,18-Jan
maneger,6,GA,OWN,"35,000",21.12,2002,13,51600,"25,804",home_improvement,24000,36,15.05,833,34836,83,,18-Feb
driver forklift ,10,CA,RENT,"50,000",21.1,2002,40,68700,"30,109",credit_card,20000,36,14.08,684,28448,68,,18-Jan
sales,3,NJ,MORTGAGE,"90,000",21.09,2002,13,512932,"39,416",home_improvement,31700,60,10.9,688,48977,69,,18-Mar
fa,6,CT,MORTGAGE,"100,000",21.05,2002,20,326087,"65,747",debt_consolidation,8400,36,11.98,279,11419,28,,18-Mar
special education teacher ,3,NY,OWN,"41,000",21.05,2002,50,66233,"47,522",debt_consolidation,21650,36,11.98,719,29431,72,,18-Mar
hris manager,10,KY,MORTGAGE,"100,000",20.96,2002,29,424159,"88,016",credit_card,40000,60,7.35,799,54700,80,,18-Feb
president,10,FL,MORTGAGE,"80,000",20.84,2002,23,462077,"71,240",other,40000,60,9.93,849,59860,85,,18-Jan
security guard ,2,LA,RENT,"50,000",20.81,2002,16,25001,"21,837",debt_consolidation,7475,36,18.06,270,11525,27,,18-Feb
social services coordinator,10,MS,MORTGAGE,"67,000",20.81,2002,25,297108,"129,470",debt_consolidation,10000,36,15.05,347,14515,35,,18-Feb
pipefitter,10,MI,MORTGAGE,"114,000",20.77,2002,27,456450,"88,495",debt_consolidation,35000,60,15.05,834,61338,83,,18-Jan
director,1,AZ,MORTGAGE,"130,000",20.77,2002,29,299098,"120,136",major_purchase,27000,60,9.92,573,40392,57,,18-Mar
mechanic ,4,IN,OWN,"52,000",20.75,2002,10,37311,"25,201",debt_consolidation,20000,60,19.03,519,39030,52,,18-Jan
teller,5,IL,RENT,"50,000",20.74,2002,39,128476,"16,061",debt_consolidation,20000,36,7.97,626,24782,63,,18-Jan
control room operator ,7,TX,OWN,"110,000",20.66,2002,41,220834,"93,192",credit_card,12000,36,6.07,365,14185,37,,18-Mar
findlay terminal manager,9,OH,MORTGAGE,"66,000",20.6,2002,33,309193,"66,040",credit_card,15000,36,5.32,452,17394,45,,18-Jan
head pressman,10,KY,OWN,"42,000",20.54,2002,13,44729,"35,079",home_improvement,20000,60,13.58,461,33580,46,,18-Mar
parts tech,9,CA,MORTGAGE,"54,000",20.51,2002,23,336575,"37,169",credit_card,10000,36,9.44,320,12832,32,,18-Feb
teacher,0,FL,MORTGAGE,"40,000",20.49,2002,23,279549,"18,996",credit_card,8000,36,10.42,260,10501,26,,18-Feb
maritime transportation specialist,8,VA,RENT,"100,203",20.41,2002,29,122235,"89,247",debt_consolidation,12000,36,11.99,399,16316,40,,18-Jan
senior drafting designer,10,TN,MORTGAGE,"86,000",20.36,2002,33,293789,"58,199",debt_consolidation,16000,36,6.72,492,19226,49,,18-Jan
inspector,10,MI,MORTGAGE,"73,000",20.32,2002,30,276433,"39,956",debt_consolidation,4550,36,9.44,146,5839,15,,18-Feb
chemical process operator,10,VA,MORTGAGE,"130,000",20.13,2002,39,125334,"72,762",credit_card,8000,36,11.98,266,10875,27,,18-Mar
district manager,1,WA,OWN,"109,500",20.1,2002,25,464098,"158,933",house,35000,36,11.98,"1,162",47579,116,,18-Feb
,,GA,MORTGAGE,"72,000",20.1,2002,19,265891,"43,584",major_purchase,12000,36,9.44,384,15398,38,,18-Jan
office administrator,9,CA,OWN,"47,611",20.09,2002,17,51014,"42,264",debt_consolidation,11200,60,20.39,299,22618,30,,18-Mar
mailroom/ site manager,3,CT,RENT,"60,000",19.96,2002,25,60999,"39,652",debt_consolidation,12000,36,10.9,392,15924,39,,18-Feb
warehouse,10,WA,RENT,"90,000",19.83,2002,15,85347,"57,296",debt_consolidation,35000,60,18.45,897,67288,90,,18-Mar
nursing assistance gna,4,MD,RENT,"30,000",19.83,2002,26,28042,"10,739",other,1800,36,10.9,59,2389,6,,18-Mar
software engineer,4,SC,MORTGAGE,"75,000",19.79,2002,26,78486,"56,636",credit_card,35000,36,10.41,"1,136",45931,114,,18-Feb
site manager,0,KS,MORTGAGE,"100,000",19.72,2002,16,218743,"50,786",other,35000,36,7.34,"1,086",42707,109,,18-Mar
rn,3,FL,RENT,"69,000",19.65,2002,27,70310,"43,197",debt_consolidation,16000,60,18.06,407,30448,41,,18-Jan
sr admin assistant,10,TX,RENT,"95,731",19.64,2002,37,86768,"53,109",debt_consolidation,20600,60,30.79,677,52314,68,,18-Jan
teacher,10,CA,RENT,"100,000",19.61,2002,40,105179,"75,341",debt_consolidation,21000,60,15.05,500,36803,50,,18-Jan
gneral manager,7,CT,RENT,"33,040",19.58,2002,15,70041,"19,240",debt_consolidation,11000,36,7.35,341,13426,34,,18-Jan
learning resource engineer,0,FL,RENT,"90,000",19.57,2002,20,106140,"59,557",other,25600,60,18.45,656,49216,66,,18-Mar
,,MO,RENT,"36,000",19.57,2002,6,33100,"14,007",debt_consolidation,16000,60,10.42,343,24336,34,,18-Jan
vp of sales,10,MD,MORTGAGE,"120,000",19.51,2002,18,353394,"54,606",credit_card,25000,60,15.05,595,43813,60,,18-Feb
,,WV,MORTGAGE,"110,000",19.4,2002,49,141508,"33,018",credit_card,8000,36,9.93,258,10383,26,,18-Jan
chef,2,NY,MORTGAGE,"100,000",19.34,2002,19,75176,"38,767",debt_consolidation,10000,36,13.59,340,14077,34,,18-Jan
graduate researcher,5,CA,RENT,"41,000",19.27,2002,28,65689,"53,848",credit_card,11000,36,20.39,411,17729,41,,18-Mar
development specialist,0,KS,MORTGAGE,"40,000",19.26,2002,22,135310,"66,398",credit_card,3500,36,7.35,109,4272,11,,18-Jan
teacher,3,NJ,MORTGAGE,"69,000",19.23,2002,17,256464,"59,097",debt_consolidation,12000,36,10.42,390,15751,39,,18-Feb
sports & recreation director,10,CA,RENT,"62,000",19.16,2002,10,156658,"141,644",debt_consolidation,24000,60,19.42,628,47304,63,,18-Mar
nurse assistant ,10,AL,OWN,"51,000",19.13,2002,29,53385,"44,829",debt_consolidation,5200,36,18.45,189,8078,19,,18-Mar
owner,9,AL,MORTGAGE,"200,000",19.12,2002,29,434389,"129,799",home_improvement,39825,36,7.96,"1,247",49335,125,,18-Mar
system administrator,8,GA,MORTGAGE,"72,000",19.1,2002,24,328143,"50,848",debt_consolidation,11000,60,10.42,236,16731,24,,18-Feb
quality assurane test and evaluation,10,MI,RENT,"108,000",18.99,2002,38,187308,"104,671",other,10000,36,6.72,308,12016,31,,18-Jan
production graphics,1,CA,MORTGAGE,"52,000",18.92,2002,29,293487,"16,837",debt_consolidation,2000,36,6.08,61,2365,6,,18-Jan
truck driver,1,CA,RENT,"90,000",18.87,2002,18,161272,"23,769",major_purchase,30000,36,12.61,"1,005",41349,101,,18-Mar
sales manager,3,TX,MORTGAGE,"110,000",18.85,2002,27,410014,"91,480",debt_consolidation,16000,36,12.61,536,22053,54,,18-Mar
,,FL,RENT,"18,312",18.81,2002,12,11800,"7,652",debt_consolidation,10000,36,19.42,369,15826,37,,18-Mar
felony collections officer,10,TX,RENT,"48,000",18.8,2002,18,40214,"25,375",credit_card,11000,60,17.09,274,20400,27,,18-Jan
database administrator,5,DE,MORTGAGE,"100,000",18.77,2002,35,482752,"90,235",debt_consolidation,14000,36,9.92,451,18166,45,,18-Mar
real estate support staff,1,WY,MORTGAGE,"31,680",18.68,2002,43,188027,"30,935",credit_card,6600,36,19.03,242,10368,24,,18-Feb
manager ,7,NM,MORTGAGE,"96,000",18.66,2002,24,48467,"27,013",home_improvement,25000,36,21.85,953,41388,95,,18-Mar
lieutenant,10,MA,MORTGAGE,"96,000",18.66,2002,18,427091,"39,536",debt_consolidation,19000,60,18.06,483,36157,48,,18-Jan
r e appraiser,10,MI,MORTGAGE,"42,000",18.65,2002,19,220060,"26,680",debt_consolidation,37000,36,9.44,"1,184",47478,118,,18-Jan
senior insurance sales rep,6,FL,MORTGAGE,"110,000",18.61,2002,27,81229,"36,081",debt_consolidation,10000,36,12.62,335,13786,34,,18-Jan
erse 4,10,NY,RENT,"64,934",18.55,2002,20,47606,"23,663",debt_consolidation,9600,36,13.58,326,13511,33,,18-Mar
logistics supervision ,10,CO,RENT,"70,000",18.51,2002,18,53533,"27,241",debt_consolidation,35000,60,17.47,879,65573,88,,18-Mar
teacher,10,NY,MORTGAGE,"89,000",18.42,2002,23,73486,"47,743",debt_consolidation,40000,60,15.05,953,70100,95,,18-Feb
project manager,10,NJ,MORTGAGE,"92,000",18.41,2002,32,336709,"29,973",debt_consolidation,16000,36,5.31,482,18549,48,,18-Mar
,10,MD,MORTGAGE,"100,000",18.4,2002,10,363816,"40,133",debt_consolidation,18000,36,7.97,564,22304,56,,18-Jan
senior project manager,4,GA,MORTGAGE,"139,000",18.26,2002,53,544552,"115,059",moving,5000,36,13.58,170,7037,17,,18-Mar
,,IL,MORTGAGE,"66,000",18,2002,10,45900,"21,054",debt_consolidation,20000,36,6.72,615,24032,61,,18-Feb
pipe welder,2,TX,MORTGAGE,"70,000",17.98,2002,41,230799,"35,941",debt_consolidation,30000,60,10.9,651,46350,65,,18-Mar
training specialist,3,MA,RENT,"83,000",17.97,2002,26,76644,"54,562",credit_card,10000,36,9.93,322,12979,32,,18-Jan
mental health worker,10,NY,RENT,"37,000",17.69,2002,9,44900,"20,953",debt_consolidation,26400,60,12.62,596,43058,60,,18-Jan
office administrator,4,TX,RENT,"95,000",17.68,2002,22,62800,"33,897",debt_consolidation,30000,36,10.42,974,39378,97,,18-Jan
purchasing,10,AR,MORTGAGE,"47,028",17.62,2002,10,117025,"25,122",major_purchase,1500,36,6.72,46,1802,5,,18-Feb
regional director,2,SC,MORTGAGE,"85,000",17.61,2002,34,50967,"20,742",credit_card,5000,36,7.35,155,6103,16,,18-Jan
